0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.055;0.004;-0.003;0;0;0;0;0;0;-0.051;0.118;0.238;-0.053;0.092;0.249;0;0;0;0;0;0;0.477;0.155;-0.089;0.911;-0.022;-0.009;-0.161;0;0.531;0.067;-0.08;0.917;0.076;0.007;-0.168;0;0;0;-0.745;0.11;0.039;0.81;-0.21;-0.034;-0.295;0;0;-0.772;0.139;0.044;0.778;-0.814;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.004;-0.003;0;0;0;0;0;0;-0.051;0.118;0.238;-0.053;0.093;0.249;0;0;0;0;0;0;0.477;0.155;-0.09;0.911;-0.022;-0.009;-0.161;0;0.532;0.067;-0.08;0.917;0.076;0.007;-0.168;0;0;0;-0.745;0.111;0.036;0.805;-0.211;-0.035;-0.295;0;0;-0.773;0.139;0.044;0.778;-0.814;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.004;-0.003;0;0;0;0;0;0;-0.052;0.118;0.238;-0.054;0.093;0.249;0;0;0;0;0;0;0.477;0.154;-0.09;0.911;-0.021;-0.009;-0.161;0;0.532;0.067;-0.08;0.917;0.076;0.007;-0.168;0;0;0;-0.746;0.111;0.033;0.801;-0.212;-0.035;-0.296;0;0;-0.773;0.139;0.043;0.778;-0.815;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.004;-0.002;0;0;0;0;0;0;-0.054;0.118;0.237;-0.056;0.093;0.248;0;0;0;0;0;0;0.477;0.154;-0.09;0.911;-0.021;-0.009;-0.161;0;0.532;0.067;-0.08;0.917;0.075;0.007;-0.168;0;0;0;-0.747;0.112;0.031;0.797;-0.213;-0.035;-0.296;0;0;-0.773;0.139;0.043;0.778;-0.815;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.004;-0.002;0;0;0;0;0;0;-0.062;0.116;0.234;-0.064;0.091;0.244;0;0;0;0;0;0;0.478;0.154;-0.09;0.911;-0.021;-0.009;-0.161;0;0.532;0.067;-0.08;0.917;0.075;0.007;-0.168;0;0;0;-0.747;0.112;0.03;0.794;-0.214;-0.035;-0.296;0;0;-0.773;0.14;0.042;0.778;-0.815;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.004;-0.002;0;0;0;0;0;0;-0.072;0.114;0.23;-0.073;0.09;0.24;0;0;0;0;0;0;0.478;0.154;-0.091;0.911;-0.021;-0.009;-0.16;0;0.532;0.067;-0.08;0.917;0.075;0.007;-0.168;0;0;0;-0.747;0.112;0.034;0.793;-0.214;-0.035;-0.296;0;0;-0.773;0.14;0.042;0.778;-0.816;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.061;-0.001;-0.002;0;0;0;0;0;0;-0.025;0.12;0.428;-0.032;0.075;0.438;0;0;0;0;0;0;0.506;0.162;-0.096;0.912;-0.028;-0.011;-0.16;0;0.558;0.062;-0.083;0.918;0.087;0.011;-0.169;0;0;0;-0.748;0.112;0.086;0.815;-0.205;-0.034;-0.295;0;0;-0.739;0.125;-0.063;0.787;-0.809;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.061;-0.001;-0.002;0;0;0;0;0;0;-0.024;0.12;0.428;-0.03;0.075;0.437;0;0;0;0;0;0;0.506;0.161;-0.095;0.912;-0.027;-0.011;-0.16;0;0.558;0.062;-0.084;0.918;0.087;0.011;-0.169;0;0;0;-0.748;0.112;0.086;0.814;-0.206;-0.034;-0.295;0;0;-0.74;0.125;-0.06;0.787;-0.808;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.061;-0.001;-0.002;0;0;0;0;0;0;-0.023;0.121;0.427;-0.029;0.076;0.437;0;0;0;0;0;0;0.506;0.161;-0.095;0.912;-0.027;-0.011;-0.16;0;0.558;0.062;-0.084;0.918;0.087;0.011;-0.169;0;0;0;-0.748;0.112;0.086;0.814;-0.206;-0.034;-0.295;0;0;-0.742;0.126;-0.057;0.787;-0.807;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
-0.055;0.003;-0.002;0;0;0;0;0;0;-0.133;0.135;0.25;-0.135;0.109;0.262;0;0;0;0;0;0;0.479;0.154;-0.092;0.912;-0.02;-0.009;-0.16;0;0.533;0.068;-0.08;0.917;0.074;0.007;-0.168;0;0;0;-0.748;0.113;0.043;0.792;-0.214;-0.035;-0.296;0;0;-0.773;0.14;0.04;0.778;-0.816;0.257;0.338;-1;-0.581;0.118;0.376;0.172;-0.87;0.537;0.429;-0.509;-0.617;-0.625;-0.784;-0.67;-0.806;-0.659;-0.404;-0.709;-0.781;-0.784;-0.426;-1;-0.542;0.213;0.513;-0.477;0.593;-0.914;-0.549;-0.976;1;-1;0.02;-0.995;-1;-1;-0.028;-0.926;-0.211;-0.58;0.074
