0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.054;0.011;-0.002;0;0;0;0;0;0;-0.025;0.014;0.035;-0.025;0.01;0.036;0;0;0;0;0;0;0.677;0.019;-0.076;0.933;0.149;0;0.018;0;0.652;0.12;-0.109;0.925;-0.074;-0.032;-0.154;0;0;0;-0.725;0.136;-0.255;0.806;-0.386;0.026;0.213;0;0;-0.697;0.165;-0.221;0.79;-0.347;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.011;-0.002;0;0;0;0;0;0;-0.026;0.014;0.038;-0.026;0.01;0.039;0;0;0;0;0;0;0.677;0.019;-0.076;0.933;0.148;0.001;0.018;0;0.652;0.12;-0.109;0.925;-0.074;-0.032;-0.154;0;0;0;-0.725;0.135;-0.253;0.807;-0.386;0.026;0.213;0;0;-0.697;0.165;-0.221;0.789;-0.347;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.011;-0.002;0;0;0;0;0;0;-0.025;0.013;0.04;-0.025;0.009;0.042;0;0;0;0;0;0;0.677;0.018;-0.075;0.932;0.148;0.001;0.018;0;0.652;0.12;-0.109;0.925;-0.074;-0.032;-0.154;0;0;0;-0.726;0.135;-0.25;0.808;-0.388;0.026;0.213;0;0;-0.697;0.165;-0.221;0.789;-0.347;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.011;-0.002;0;0;0;0;0;0;-0.024;0.012;0.044;-0.024;0.007;0.045;0;0;0;0;0;0;0.677;0.018;-0.075;0.932;0.148;0.001;0.018;0;0.652;0.121;-0.11;0.925;-0.074;-0.032;-0.154;0;0;0;-0.726;0.135;-0.249;0.809;-0.388;0.026;0.213;0;0;-0.696;0.165;-0.222;0.788;-0.347;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.07;-0.002;0.001;0;0;0;0;0;0;0.01;0.049;-0.25;0.008;0.075;-0.243;0;0;0;0;0;0;0.646;0.021;-0.086;0.929;0.187;0.003;0.006;0;0.641;0.134;-0.098;0.925;-0.116;-0.043;-0.153;0;0;0;-0.783;0.12;-0.123;0.82;-0.372;0.027;0.215;0;0;-0.673;0.162;-0.226;0.775;-0.067;-0.002;0;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.054;0.011;-0.002;0;0;0;0;0;0;-0.023;0.011;0.049;-0.023;0.006;0.05;0;0;0;0;0;0;0.676;0.018;-0.074;0.932;0.148;0.001;0.018;0;0.653;0.121;-0.11;0.925;-0.074;-0.032;-0.154;0;0;0;-0.728;0.134;-0.25;0.809;-0.387;0.026;0.213;0;0;-0.695;0.165;-0.222;0.786;-0.346;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.01;-0.002;0;0;0;0;0;0;-0.024;0.011;0.054;-0.024;0.005;0.055;0;0;0;0;0;0;0.676;0.017;-0.073;0.932;0.147;0.001;0.019;0;0.653;0.122;-0.111;0.925;-0.074;-0.032;-0.154;0;0;0;-0.729;0.133;-0.252;0.809;-0.386;0.026;0.213;0;0;-0.694;0.165;-0.223;0.784;-0.346;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.01;-0.002;0;0;0;0;0;0;-0.031;0.015;0.065;-0.032;0.008;0.066;0;0;0;0;0;0;0.676;0.017;-0.072;0.931;0.147;0.001;0.019;0;0.654;0.123;-0.112;0.925;-0.073;-0.032;-0.154;0;0;0;-0.732;0.133;-0.255;0.808;-0.384;0.026;0.213;0;0;-0.693;0.165;-0.224;0.782;-0.346;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.009;-0.001;0;0;0;0;0;0;-0.052;0.023;0.093;-0.052;0.013;0.094;0;0;0;0;0;0;0.675;0.016;-0.071;0.931;0.146;0.001;0.02;0;0.655;0.123;-0.114;0.925;-0.072;-0.032;-0.154;0;0;0;-0.734;0.132;-0.257;0.807;-0.382;0.026;0.213;0;0;-0.691;0.165;-0.225;0.78;-0.346;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
-0.054;0.009;-0.001;0;0;0;0;0;0;-0.084;0.043;0.15;-0.085;0.027;0.153;0;0;0;0;0;0;0.675;0.016;-0.069;0.931;0.145;0.001;0.021;0;0.656;0.124;-0.115;0.925;-0.072;-0.032;-0.154;0;0;0;-0.737;0.131;-0.259;0.807;-0.38;0.026;0.213;0;0;-0.69;0.166;-0.227;0.777;-0.345;0.538;-0.926;-1;0.024;0.131;0.468;0.57;-0.754;0.491;0.27;-0.314;-0.293;-0.508;-0.669;-0.193;-0.988;-0.552;-0.648;-0.264;-0.663;-0.682;-0.976;-1;-1;0.254;0.32;-0.376;0.47;-0.579;-0.296;-0.9;1;-0.903;-0.294;-0.995;-0.326;-0.858;-0.146;-1;0.427;-0.488;0.065
