0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.064;0.014;0.001;0;0;0;0;0;0;-0.082;-0.01;0.001;-0.063;-0.002;0;0;0;0;0;0;0;0.672;0.076;-0.101;0.95;0.108;0.007;-0.1;0;0.676;0.141;-0.119;0.95;-0.021;-0.02;-0.158;0;0;0;-0.78;0.118;-0.123;0.808;-0.048;0;0;0;0;-0.719;0.149;-0.137;0.822;-0.088;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.013;0.001;0;0;0;0;0;0;-0.076;-0.007;0.004;-0.058;0;0.004;0;0;0;0;0;0;0.672;0.076;-0.101;0.95;0.107;0.007;-0.1;0;0.676;0.141;-0.119;0.95;-0.021;-0.02;-0.158;0;0;0;-0.779;0.118;-0.124;0.807;-0.049;0;0;0;0;-0.718;0.148;-0.14;0.821;-0.088;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.013;0.001;0;0;0;0;0;0;-0.077;-0.008;0.004;-0.058;0.001;0.004;0;0;0;0;0;0;0.672;0.075;-0.101;0.95;0.107;0.007;-0.1;0;0.676;0.141;-0.119;0.95;-0.021;-0.02;-0.158;0;0;0;-0.779;0.118;-0.125;0.807;-0.049;0;0;0;0;-0.718;0.148;-0.14;0.821;-0.088;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.013;0.001;0;0;0;0;0;0;-0.079;-0.008;0.005;-0.057;0.001;0.005;0;0;0;0;0;0;0.671;0.075;-0.101;0.951;0.107;0.007;-0.1;0;0.675;0.141;-0.119;0.95;-0.02;-0.02;-0.158;0;0;0;-0.779;0.118;-0.125;0.807;-0.049;0;0;0;0;-0.717;0.148;-0.141;0.82;-0.088;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.012;0.001;0;0;0;0;0;0;-0.077;-0.012;-0.004;-0.06;-0.005;-0.006;0;0;0;0;0;0;0.671;0.076;-0.101;0.951;0.107;0.007;-0.1;0;0.675;0.141;-0.119;0.95;-0.02;-0.02;-0.158;0;0;0;-0.778;0.118;-0.126;0.806;-0.049;0;0;0;0;-0.717;0.148;-0.143;0.819;-0.087;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.011;0;0;0;0;0;0;0;-0.077;-0.018;-0.027;-0.061;-0.009;-0.031;0;0;0;0;0;0;0.67;0.076;-0.101;0.952;0.107;0.007;-0.1;0;0.675;0.141;-0.119;0.95;-0.02;-0.02;-0.158;0;0;0;-0.778;0.118;-0.126;0.806;-0.049;0;0;0;0;-0.717;0.148;-0.144;0.818;-0.086;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.011;0;0;0;0;0;0;0;-0.081;-0.023;-0.037;-0.062;-0.012;-0.045;0;0;0;0;0;0;0.67;0.076;-0.101;0.952;0.107;0.007;-0.1;0;0.675;0.141;-0.119;0.95;-0.02;-0.02;-0.158;0;0;0;-0.778;0.118;-0.126;0.806;-0.049;0;0;0;0;-0.717;0.148;-0.145;0.818;-0.085;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.011;0;0;0;0;0;0;0;-0.081;-0.035;-0.07;-0.063;-0.021;-0.083;0;0;0;0;0;0;0.67;0.076;-0.102;0.952;0.107;0.007;-0.1;0;0.675;0.141;-0.119;0.95;-0.02;-0.02;-0.159;0;0;0;-0.777;0.118;-0.127;0.805;-0.049;0;0;0;0;-0.717;0.147;-0.145;0.818;-0.085;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.011;0;0;0;0;0;0;0;-0.078;-0.058;-0.152;-0.061;-0.037;-0.177;0;0;0;0;0;0;0.67;0.076;-0.102;0.952;0.107;0.007;-0.1;0;0.674;0.141;-0.119;0.95;-0.02;-0.019;-0.159;0;0;0;-0.777;0.118;-0.128;0.804;-0.049;0;0;0;0;-0.717;0.147;-0.146;0.817;-0.084;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
-0.064;0.01;0;0;0;0;0;0;0;-0.061;-0.133;-0.345;-0.043;-0.098;-0.408;0;0;0;0;0;0;0.669;0.076;-0.102;0.952;0.107;0.008;-0.1;0;0.674;0.141;-0.119;0.95;-0.02;-0.019;-0.159;0;0;0;-0.776;0.117;-0.131;0.803;-0.048;0;0;0;0;-0.716;0.147;-0.147;0.816;-0.084;-0.002;-0.001;-0.746;0.307;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.63;0.186;0.812;0.812;-0.747;0.305;0.312;0.639;0.662;-0.351;0.766;0.793;0.668;-0.513;0.762;0.811;0.655;-0.038;0.775;0.812;0.631;0.186;0.812;0.812
